15.9	{308}
11.8	{408}
11.5	{186}
10.4	{14}
9.4	{67}
9.1	{170}
9.0	{315}
8.8	{161}
8.5	{56}
8.4	{431}
7.7	{221}
7.6	{111}
7.5	{478}
7.4	{194}
7.3	{427}
7.1	{449}
6.9	{331}
6.7	{141}
6.7	{19}
6.6	{162}
6.5	{60}
6.5	{187}
6.2	{261}
6.1	{448}
6.0	{474}
6.0	{403}
5.9	{190}
5.9	{34}
5.9	{18}
5.8	{455}
5.7	{86}
5.7	{396}
5.3	{108}
5.3	{406}
5.3	{250}
5.1	{218}
5.1	{16}
5.1	{239}
5.1	{419}
5.0	{117}
5.0	{425}
4.8	{390}
4.8	{210}
4.8	{319}
4.7	{288}
4.7	{185}
4.7	{322}
4.7	{349}
4.6	{270}
4.6	{48}
4.6	{110}
4.5	{6}
4.5	{154}
4.4	{102}
4.4	{30}
4.3	{195}
4.3	{389}
4.3	{470}
4.2	{489}
4.2	{395}
4.2	{143}
4.2	{376}
4.1	{492}
4.1	{426}
4.1	{152}
4.1	{293}
4.1	{116}
4.0	{202}
4.0	{140}
4.0	{279}
3.9	{1}
3.9	{345}
3.9	{132}
3.9	{321}
3.9	{318}
3.8	{310}
3.8	{163}
3.8	{220}
3.7	{32}
3.7	{267}
3.7	{234}
3.7	{443}
3.7	{335}
3.7	{147}
3.7	{99}
3.6	{12}
3.6	{178}
3.5	{313}
3.5	{124}
3.5	{328}
3.5	{241}
3.5	{78}
3.4	{242}
3.3	{445}
3.3	{209}
3.3	{324}
3.2	{101}
3.2	{301}
3.2	{49}
3.2	{146}
3.2	{4}
3.1	{123}
3.1	{254}
3.1	{277}
3.1	{181}
3.1	{285}
3.1	{91}
3.1	{219}
3.1	{191}
3.1	{494}
3.1	{244}
3.1	{240}
3.1	{265}
3.0	{351}
3.0	{233}
3.0	{479}
2.9	{2}
2.9	{435}
2.9	{457}
2.9	{46}
2.9	{134}
2.9	{305}
2.9	{387}
2.9	{286}
2.9	{136}
2.9	{121}
2.8	{188}
2.8	{215}
2.8	{26}
2.8	{274}
2.7	{459}
2.7	{430}
2.7	{172}
2.7	{144}
2.7	{416}
2.7	{394}
2.7	{177}
2.6	{39}
2.6	{268}
2.6	{437}
2.6	{421}
2.5	{37}
2.5	{304}
2.5	{400}
2.5	{29}
2.5	{433}
2.5	{451}
2.4	{378}
2.4	{307}
2.4	{15}
2.4	{138}
2.4	{166}
2.4	{308,408}
2.3	{72}
2.3	{103}
2.3	{44}
2.3	{326}
2.3	{28}
2.3	{21}
2.3	{50}
2.3	{438}
2.3	{229}
2.3	{409}
2.3	{90}
2.2	{227}
2.2	{375}
2.2	{38}
2.2	{115}
2.2	{420}
2.2	{97}
2.2	{401}
2.2	{358}
2.2	{14,308}
2.1	{189}
2.1	{336}
2.1	{413}
2.1	{57}
2.1	{0}
2.1	{428}
2.1	{477}
2.1	{113}
2.1	{129}
2.1	{308,170}
2.0	{370}
2.0	{339}
2.0	{139}
2.0	{160}
2.0	{76}
2.0	{135}
2.0	{87}
2.0	{417}
2.0	{308,67}
1.9	{70}
1.9	{85}
1.9	{444}
1.9	{386}
1.9	{184}
1.9	{452}
1.9	{458}
1.9	{439}
1.9	{348}
1.9	{356}
1.9	{222}
1.9	{380}
1.9	{482}
1.9	{42}
1.9	{308,186}
1.8	{471}
1.8	{245}
1.8	{472}
1.8	{388}
1.8	{384}
1.7	{440}
1.7	{183}
1.7	{334}
1.7	{47}
1.7	{266}
1.7	{192}
1.7	{357}
1.7	{441}
1.7	{269}
1.7	{364}
1.7	{41}
1.7	{67,408}
1.6	{119}
1.6	{481}
1.6	{262}
1.6	{498}
1.6	{414}
1.6	{5}
1.6	{11}
1.6	{329}
1.6	{249}
1.6	{275}
1.6	{100}
1.6	{281}
1.6	{66}
1.6	{308,161}
1.6	{431,308}
1.6	{308,315}
1.6	{449,308}
1.6	{308,478}
1.5	{63}
1.5	{81}
1.5	{323}
1.5	{235}
1.5	{292}
1.5	{359}
1.5	{238}
1.5	{205}
1.5	{308,190}
1.5	{14,186}
1.5	{308,261}
1.4	{273}
1.4	{497}
1.4	{295}
1.4	{423}
1.4	{158}
1.4	{367}
1.4	{167}
1.4	{230}
1.4	{159}
1.4	{473}
1.4	{3}
1.4	{276}
1.4	{196}
1.4	{366}
1.4	{485}
1.4	{142}
1.4	{75}
1.4	{179}
1.4	{407}
1.4	{186,315}
1.4	{67,190}
1.4	{186,408}
1.4	{221,186}
1.3	{93}
1.3	{258}
1.3	{466}
1.3	{253}
1.3	{341}
1.3	{302}
1.3	{365}
1.3	{31}
1.3	{43}
1.3	{490}
1.3	{89}
1.3	{330}
1.3	{98}
1.3	{427,186}
1.3	{14,67}
1.3	{308,56}
1.3	{67,315}
1.3	{308,194}
1.3	{308,60}
1.3	{308,111}
1.3	{161,56}
1.3	{308,427}
1.3	{194,111}
1.3	{34,308}
1.2	{342}
1.2	{402}
1.2	{68}
1.2	{316}
1.2	{300}
1.2	{118}
1.2	{422}
1.2	{149}
1.2	{460}
1.2	{94}
1.2	{20}
1.2	{77}
1.2	{495}
1.2	{203}
1.2	{207}
1.2	{352}
1.2	{225}
1.2	{431,408}
1.2	{478,67}
1.2	{315,190}
1.2	{186,56}
1.2	{308,19}
1.2	{161,408}
1.2	{221,308}
1.2	{14,194}
1.2	{431,427}
1.2	{187,315}
1.2	{308,425}
1.2	{408,56}
1.1	{125}
1.1	{112}
1.1	{363}
1.1	{271}
1.1	{197}
1.1	{155}
1.1	{236}
1.1	{131}
1.1	{145}
1.1	{151}
1.1	{232}
1.1	{410}
1.1	{398}
1.1	{315,56}
1.1	{308,443}
1.1	{449,186}
1.1	{14,187}
1.1	{67,455}
1.1	{308,108}
1.1	{308,322}
1.1	{161,48}
1.1	{308,448}
1.1	{427,170}
1.1	{14,408}
1.1	{315,408}
1.1	{427,56}
1.1	{449,478}
1.1	{408,117}
1.1	{14,288}
1.1	{308,86}
1.1	{449,111}
1.1	{308,187}
1.1	{308,455}
1.1	{308,331}
1.1	{478,331}
1.1	{221,474}
1.1	{14,117}
1.1	{408,16}
1.0	{137}
1.0	{465}
1.0	{246}
1.0	{175}
1.0	{226}
1.0	{8}
1.0	{343}
1.0	{214}
1.0	{199}
1.0	{368}
1.0	{213}
1.0	{252}
1.0	{429}
1.0	{355}
1.0	{162,308}
1.0	{242,308}
1.0	{18,194}
1.0	{308,152}
1.0	{308,406}
1.0	{478,186}
1.0	{186,293}
1.0	{1,308}
1.0	{308,267}
1.0	{186,195}
1.0	{308,349}
1.0	{67,56}
1.0	{161,108}
1.0	{14,331}
1.0	{308,240}
1.0	{186,170}
1.0	{67,419}
1.0	{67,170}
1.0	{308,117}
1.0	{14,250}
1.0	{210,308}
1.0	{308,30}
1.0	{308,91}
1.0	{308,470}
1.0	{132,56}
1.0	{34,19}
1.0	{308,147}
1.0	{185,315}
1.0	{14,221}
1.0	{396,56}
1.0	{408,170}
1.0	{14,56}
1.0	{161,170}
1.0	{111,408}
1.0	{261,408}
1.0	{449,431}
1.0	{111,170}
1.0	{34,431}
1.0	{186,187}
1.0	{221,427}
0.9	{374}
0.9	{211}
0.9	{434}
0.9	{182}
0.9	{122}
0.9	{107}
0.9	{24}
0.9	{392}
0.9	{120}
0.9	{204}
0.9	{314}
0.9	{161,448}
0.9	{67,187}
0.9	{14,389}
0.9	{427,474}
0.9	{14,185}
0.9	{308,319}
0.9	{308,6}
0.9	{449,194}
0.9	{308,38}
0.9	{67,141}
0.9	{186,349}
0.9	{111,419}
0.9	{408,163}
0.9	{111,293}
0.9	{308,419}
0.9	{403,408}
0.9	{18,448}
0.9	{194,394}
0.9	{221,60}
0.9	{186,403}
0.9	{431,474}
0.9	{478,48}
0.9	{1,170}
0.9	{190,250}
0.9	{14,403}
0.9	{431,321}
0.9	{86,56}
0.9	{322,261}
0.9	{427,293}
0.9	{308,421}
0.9	{308,244}
0.9	{308,376}
0.9	{389,408}
0.9	{161,250}
0.9	{308,250}
0.9	{154,408}
0.9	{18,186}
0.9	{60,170}
0.9	{239,308}
0.9	{115,161}
0.9	{161,395}
0.9	{308,474}
0.9	{194,186}
0.9	{116,186}
0.9	{431,389}
0.9	{241,408}
0.9	{427,455}
0.9	{431,117}
0.9	{185,408}
0.9	{408,455}
0.9	{308,209}
0.9	{186,161}
0.9	{34,315}
0.9	{449,19}
0.9	{18,170}
0.9	{431,162}
0.9	{427,67}
0.9	{221,154}
0.8	{33}
0.8	{290}
0.8	{499}
0.8	{54}
0.8	{224}
0.8	{114}
0.8	{79}
0.8	{294}
0.8	{340}
0.8	{309}
0.8	{22}
0.8	{346}
0.8	{157}
0.8	{399}
0.8	{325}
0.8	{35}
0.8	{493}
0.8	{162,489}
0.8	{431,194}
0.8	{431,187}
0.8	{185,448}
0.8	{470,445}
0.8	{478,315}
0.8	{390,489}
0.8	{308,389}
0.8	{425,56}
0.8	{331,250}
0.8	{389,117}
0.8	{308,489}
0.8	{250,170}
0.8	{117,170}
0.8	{308,141}
0.8	{48,448}
0.8	{185,308}
0.8	{322,186}
0.8	{250,141}
0.8	{221,331}
0.8	{162,474}
0.8	{26,147}
0.8	{431,170}
0.8	{111,86}
0.8	{239,448}
0.8	{408,108}
0.8	{14,448}
0.8	{14,60}
0.8	{67,349}
0.8	{308,116}
0.8	{431,244}
0.8	{449,34}
0.8	{389,186}
0.8	{308,396}
0.8	{308,154}
0.8	{190,202}
0.8	{186,474}
0.8	{301,408}
0.8	{308,288}
0.8	{111,19}
0.8	{210,161}
0.8	{18,279}
0.8	{457,308}
0.8	{111,250}
0.8	{162,315}
0.8	{478,313}
0.8	{67,16}
0.8	{221,403}
0.8	{18,408}
0.8	{186,110}
0.8	{14,315}
0.8	{186,261}
0.8	{19,56}
0.8	{152,187}
0.8	{431,492}
0.8	{261,315}
0.8	{389,56}
0.8	{221,152}
0.8	{315,349}
0.8	{186,335}
0.8	{14,261}
0.8	{56,117}
0.8	{394,455}
0.8	{449,221}
0.8	{396,110}
0.8	{315,170}
0.8	{406,261}
0.8	{319,448}
0.8	{186,108}
0.8	{308,115}
0.8	{408,202}
0.8	{194,455}
0.8	{308,99}
0.8	{18,308}
0.8	{218,408}
0.8	{14,162}
0.8	{67,335}
0.8	{308,270}
0.8	{449,408}
0.8	{308,124}
0.8	{162,408}
0.8	{242,408}
0.8	{14,431}
0.8	{60,315}
0.8	{186,143}
0.8	{406,448}
0.8	{152,16}
0.8	{194,408}
0.8	{181,328}
0.8	{161,141}
0.8	{250,202}
0.8	{185,67}
0.8	{154,186}
0.7	{88}
0.7	{23}
0.7	{404}
